datetime,GHI_W_m2,DNI_W_m2,DHI_W_m2,Temp_C,WindSpeed_m_s,RelHumidity_pct
2018-01-01 00:00:00,0.0,0.0,0.0,-3.21,5.27,54.7
2018-01-01 01:00:00,0.0,0.0,0.0,-3.52,5.19,53.65
2018-01-01 02:00:00,0.0,0.0,0.0,-3.85,5.03,52.24
2018-01-01 03:00:00,0.0,0.0,0.0,-4.19,4.96,51.13
2018-01-01 04:00:00,0.0,0.0,0.0,-4.59,4.89,50.58
2018-01-01 05:00:00,0.0,0.0,0.0,-4.91,4.84,50.8
2018-01-01 06:00:00,0.0,0.0,0.0,-5.15,4.73,51.48
2018-01-01 07:00:00,6.6,5.4,8.35,-5.39,4.5,53.01
2018-01-01 08:00:00,96.12,50.36,82.5,-4.68,4.94,50.3
2018-01-01 09:00:00,230.35,50.03,199.25,-3.77,5.1,46.94
2018-01-01 10:00:00,359.2,104.48,287.36,-2.89,5.02,43.93
2018-01-01 11:00:00,483.0,329.75,310.21,-1.83,4.85,40.8
2018-01-01 12:00:00,464.33,514.01,249.83,-0.72,4.47,37.73
2018-01-01 13:00:00,439.8,563.14,177.92,0.04,4.1,36.21
2018-01-01 14:00:00,364.62,505.03,157.32,0.25,3.74,36.16
2018-01-01 15:00:00,253.73,423.5,123.28,0.12,3.48,37.01
2018-01-01 16:00:00,121.35,273.41,67.3,-0.34,3.25,38.92
2018-01-01 17:00:00,12.38,84.63,12.51,-2.34,1.82,53.39
2018-01-01 18:00:00,0.0,0.0,0.0,-3.63,1.62,63.14
2018-01-01 19:00:00,0.0,0.0,0.0,-3.94,1.89,62.99
2018-01-01 20:00:00,0.0,0.0,0.0,-4.2,2.24,62.89
2018-01-01 21:00:00,0.0,0.0,0.0,-4.52,2.26,65.02
2018-01-01 22:00:00,0.0,0.0,0.0,-4.54,2.39,66.31
2018-01-01 23:00:00,0.0,0.0,0.0,-4.14,2.81,63.72
2018-01-02 00:00:00,0.0,0.0,0.0,-4.04,2.76,64.29
2018-01-02 01:00:00,0.0,0.0,0.0,-4.18,2.67,66.16
2018-01-02 02:00:00,0.0,0.0,0.0,-4.32,2.6,68.08
2018-01-02 03:00:00,0.0,0.0,0.0,-4.24,2.55,67.97
2018-01-02 04:00:00,0.0,0.0,0.0,-4.05,2.58,65.0
2018-01-02 05:00:00,0.0,0.0,0.0,-3.87,2.67,60.7
2018-01-02 06:00:00,0.0,0.0,0.0,-3.69,2.63,56.89
2018-01-02 07:00:00,6.38,30.15,7.53,-3.56,2.58,54.85
2018-01-02 08:00:00,79.43,180.74,51.54,-2.83,2.88,49.21
2018-01-02 09:00:00,167.38,274.4,90.24,-1.76,2.98,44.06
2018-01-02 10:00:00,234.32,359.28,119.85,-0.63,2.89,40.66
2018-01-02 11:00:00,218.07,23.09,186.05,0.28,2.71,38.84
2018-01-02 12:00:00,213.82,29.18,180.08,0.87,2.7,38.43
2018-01-02 13:00:00,180.38,13.1,154.47,1.12,2.73,39.17
2018-01-02 14:00:00,119.62,0.0,99.35,1.19,2.79,40.39
2018-01-02 15:00:00,135.65,226.52,91.95,0.77,3.12,43.12
2018-01-02 16:00:00,67.38,189.46,50.6,-0.09,3.34,47.55
2018-01-02 17:00:00,8.23,22.26,8.37,-1.39,2.61,55.65
2018-01-02 18:00:00,0.0,0.0,0.0,-2.29,2.2,61.96
2018-01-02 19:00:00,0.0,0.0,0.0,-3.53,1.56,70.23
2018-01-02 20:00:00,0.0,0.0,0.0,-4.8,1.38,76.67
2018-01-02 21:00:00,0.0,0.0,0.0,-5.43,1.4,78.83
2018-01-02 22:00:00,0.0,0.0,0.0,-5.72,1.28,80.79
2018-01-02 23:00:00,0.0,0.0,0.0,-5.9,1.21,82.45
2018-01-03 00:00:00,0.0,0.0,0.0,-5.91,1.42,81.64
2018-01-03 01:00:00,0.0,0.0,0.0,-5.84,1.68,79.85
2018-01-03 02:00:00,0.0,0.0,0.0,-5.84,1.78,79.84
2018-01-03 03:00:00,0.0,0.0,0.0,-5.89,1.71,79.71
2018-01-03 04:00:00,0.0,0.0,0.0,-5.89,1.67,79.67
2018-01-03 05:00:00,0.0,0.0,0.0,-5.87,1.59,79.96
