datetime,GHI_W_m2,DNI_W_m2,DHI_W_m2,Temp_C,WindSpeed_m_s,RelHumidity_pct
2015-01-01 00:00:00,0.0,0.0,0.0,1.1,1.42,81.85
2015-01-01 01:00:00,0.0,0.0,0.0,0.34,1.38,80.9
2015-01-01 02:00:00,0.0,0.0,0.0,-0.9,1.31,83.47
2015-01-01 03:00:00,0.0,0.0,0.0,-1.76,1.22,83.65
2015-01-01 04:00:00,0.0,0.0,0.0,-2.16,1.17,82.14
2015-01-01 05:00:00,0.0,0.0,0.0,-2.26,1.12,80.96
2015-01-01 06:00:00,0.0,0.0,0.0,-2.33,1.09,81.77
2015-01-01 07:00:00,17.4,155.75,10.59,-2.24,0.99,84.02
2015-01-01 08:00:00,165.23,742.37,34.46,0.67,1.27,77.15
2015-01-01 09:00:00,328.27,921.75,41.89,2.87,1.28,67.2
2015-01-01 10:00:00,451.15,962.16,49.38,5.67,1.12,58.69
2015-01-01 11:00:00,520.92,985.07,50.63,8.55,1.28,41.15
2015-01-01 12:00:00,527.47,980.68,52.26,9.44,1.4,39.8
2015-01-01 13:00:00,475.75,966.7,50.98,9.74,1.5,41.23
2015-01-01 14:00:00,367.85,919.81,46.21,9.66,1.45,44.77
2015-01-01 15:00:00,215.57,782.31,38.78,8.86,1.04,55.35
2015-01-01 16:00:00,48.45,392.06,17.24,6.13,0.94,66.56
2015-01-01 17:00:00,0.0,0.0,0.0,4.39,1.2,61.29
2015-01-01 18:00:00,0.0,0.0,0.0,3.5,1.26,63.23
2015-01-01 19:00:00,0.0,0.0,0.0,2.81,1.28,64.49
2015-01-01 20:00:00,0.0,0.0,0.0,2.35,1.27,64.66
2015-01-01 21:00:00,0.0,0.0,0.0,2.11,1.22,64.0
2015-01-01 22:00:00,0.0,0.0,0.0,2.08,1.14,62.8
2015-01-01 23:00:00,0.0,0.0,0.0,1.95,1.12,62.95
2015-01-02 00:00:00,0.0,0.0,0.0,1.69,1.13,63.67
2015-01-02 01:00:00,0.0,0.0,0.0,1.39,1.15,64.83
2015-01-02 02:00:00,0.0,0.0,0.0,1.22,1.1,65.63
2015-01-02 03:00:00,0.0,0.0,0.0,1.1,1.0,65.95
2015-01-02 04:00:00,0.0,0.0,0.0,0.86,0.92,67.09
2015-01-02 05:00:00,0.0,0.0,0.0,0.77,0.93,67.78
2015-01-02 06:00:00,0.0,0.0,0.0,0.64,0.88,68.7
2015-01-02 07:00:00,14.88,96.86,11.58,0.85,0.82,68.69
2015-01-02 08:00:00,149.07,591.57,42.14,2.67,0.71,76.24
2015-01-02 09:00:00,300.05,788.2,59.06,4.49,1.06,64.43
2015-01-02 10:00:00,420.25,875.01,74.01,6.86,1.23,56.89
2015-01-02 11:00:00,490.65,851.71,101.37,8.72,1.47,48.65
2015-01-02 12:00:00,502.75,885.33,80.44,9.37,1.39,48.27
2015-01-02 13:00:00,464.73,919.19,58.26,9.75,1.22,48.47
2015-01-02 14:00:00,358.5,859.98,52.9,9.69,1.26,50.24
2015-01-02 15:00:00,208.88,738.53,40.79,8.76,1.1,61.51
2015-01-02 16:00:00,46.42,336.29,18.68,5.72,0.94,75.58
2015-01-02 17:00:00,0.0,0.0,0.0,4.02,1.17,70.7
2015-01-02 18:00:00,0.0,0.0,0.0,3.54,1.13,69.72
2015-01-02 19:00:00,0.0,0.0,0.0,3.24,1.03,68.56
2015-01-02 20:00:00,0.0,0.0,0.0,3.19,0.82,66.96
2015-01-02 21:00:00,0.0,0.0,0.0,3.76,0.62,62.93
2015-01-02 22:00:00,0.0,0.0,0.0,3.76,0.3,62.75
2015-01-02 23:00:00,0.0,0.0,0.0,3.43,0.56,65.27
2015-01-03 00:00:00,0.0,0.0,0.0,3.45,0.18,66.18
