datetime,GHI_W_m2,DNI_W_m2,DHI_W_m2,Temp_C,WindSpeed_m_s,RelHumidity_pct
2019-01-01 00:00:00,0.0,0.0,0.0,9.06,7.45,96.52
2019-01-01 01:00:00,0.0,0.0,0.0,9.63,8.04,95.82
2019-01-01 02:00:00,0.0,0.0,0.0,10.52,8.41,95.87
2019-01-01 03:00:00,0.0,0.0,0.0,10.71,7.82,96.67
2019-01-01 04:00:00,0.0,0.0,0.0,11.01,7.68,96.51
2019-01-01 05:00:00,0.0,0.0,0.0,11.54,8.06,95.88
2019-01-01 06:00:00,0.0,0.0,0.0,11.82,7.82,96.13
2019-01-01 07:00:00,7.15,3.61,7.63,12.22,7.58,94.61
2019-01-01 08:00:00,71.05,0.78,62.65,12.29,7.65,90.85
2019-01-01 09:00:00,143.55,5.22,124.57,11.88,7.41,86.21
2019-01-01 10:00:00,121.1,35.15,101.55,11.49,7.4,82.5
2019-01-01 11:00:00,310.8,232.67,209.34,10.98,7.92,77.92
2019-01-01 12:00:00,395.4,635.5,140.79,10.12,7.7,75.57
2019-01-01 13:00:00,342.4,561.12,162.21,9.36,7.22,74.16
2019-01-01 14:00:00,245.4,372.34,145.93,8.79,6.87,73.34
2019-01-01 15:00:00,122.4,201.7,84.46,8.18,6.43,74.63
2019-01-01 16:00:00,11.73,32.74,13.73,7.29,5.85,77.38
2019-01-01 17:00:00,0.0,0.0,0.0,6.57,5.82,78.92
2019-01-01 18:00:00,0.0,0.0,0.0,5.95,5.81,79.71
2019-01-01 19:00:00,0.0,0.0,0.0,5.27,5.52,80.71
2019-01-01 20:00:00,0.0,0.0,0.0,4.73,5.23,80.81
2019-01-01 21:00:00,0.0,0.0,0.0,4.24,4.95,81.08
2019-01-01 22:00:00,0.0,0.0,0.0,3.8,4.66,81.4
2019-01-01 23:00:00,0.0,0.0,0.0,3.42,4.46,81.75
2019-01-02 00:00:00,0.0,0.0,0.0,3.04,4.36,80.36
2019-01-02 01:00:00,0.0,0.0,0.0,2.76,4.33,80.06
2019-01-02 02:00:00,0.0,0.0,0.0,2.49,4.28,80.75
2019-01-02 03:00:00,0.0,0.0,0.0,2.21,4.22,81.01
2019-01-02 04:00:00,0.0,0.0,0.0,1.97,4.11,81.27
2019-01-02 05:00:00,0.0,0.0,0.0,1.77,4.03,81.81
2019-01-02 06:00:00,0.0,0.0,0.0,1.61,3.99,81.66
