datetime,GHI,DNI,DHI,Temperature,Wind Speed,Relative Humidity,Pressure,Dew Point
2018-01-01 00:00:00,0,0,0,-2.9000000000000004,5.300000000000001,54.93,1018,-10.7
2018-01-01 01:00:00,0,0,0,-3.2,5.2,53.97,1019,-11.2
2018-01-01 02:00:00,0,0,0,-3.5,5.1000000000000005,52.92,1019,-11.7
2018-01-01 03:00:00,0,0,0,-3.8,5.0,51.6,1019,-12.3
2018-01-01 04:00:00,0,0,0,-4.0,5.0,49.86,1020,-12.9
2018-01-01 05:00:00,0,0,0,-4.3,4.9,48.94,1020,-13.4
2018-01-01 06:00:00,0,0,0,-4.6000000000000005,4.800000000000001,48.9,1021,-13.7
2018-01-01 07:00:00,0,0,0,-4.4,4.800000000000001,48.14,1022,-13.7
2018-01-01 08:00:00,155,559,50,-3.7,5.1000000000000005,45.73,1022,-13.7
2018-01-01 09:00:00,200,63,177,-2.8000000000000003,5.1000000000000005,43.11,1022,-13.6
2018-01-01 10:00:00,184,17,175,-1.9,4.9,41.03,1022,-13.4
2018-01-01 11:00:00,425,156,336,-0.8,4.6000000000000005,38.78,1021,-13.1
2018-01-01 12:00:00,312,29,295,0.0,4.2,37.57,1020,-12.8
2018-01-01 13:00:00,314,86,265,0.4,3.8,37.36,1020,-12.5
2018-01-01 14:00:00,215,26,202,0.4,3.5,37.8,1019,-12.4
2018-01-01 15:00:00,72,1,72,0.2,3.3000000000000003,38.61,1018,-12.3
2018-01-01 16:00:00,82,1,82,-0.9,2.5,42.31,1018,-12.1
2018-01-01 17:00:00,7,0,7,-2.3000000000000003,1.8,53.43,1018,-10.5
2018-01-01 18:00:00,0,0,0,-3.1,1.8,61.120000000000005,1018,-9.5
2018-01-01 19:00:00,0,0,0,-3.4000000000000004,2.1,60.3,1018,-10.0
2018-01-01 20:00:00,0,0,0,-3.6,2.3000000000000003,59.64,1019,-10.3
2018-01-01 21:00:00,0,0,0,-3.6,2.4000000000000004,59.49,1019,-10.4
2018-01-01 22:00:00,0,0,0,-3.5,2.6,59.35,1019,-10.3
2018-01-01 23:00:00,0,0,0,-3.3000000000000003,2.8000000000000003,58.21,1019,-10.3
2018-01-02 00:00:00,0,0,0,-3.3000000000000003,2.7,59.02,1018,-10.2
2018-01-02 01:00:00,0,0,0,-3.3000000000000003,2.6,60.22,1018,-9.9
2018-01-02 02:00:00,0,0,0,-3.4000000000000004,2.6,61.6,1018,-9.7
2018-01-02 03:00:00,0,0,0,-3.4000000000000004,2.5,62.3,1017,-9.6
2018-01-02 04:00:00,0,0,0,-3.3000000000000003,2.6,61.27,1017,-9.7
2018-01-02 05:00:00,0,0,0,-3.2,2.7,59.11,1017,-10.1
2018-01-02 06:00:00,0,0,0,-3.1,2.6,56.57,1017,-10.5
2018-01-02 07:00:00,0,0,0,-2.7,2.8000000000000003,53.71,1017,-10.8
