datetime,GHI,DNI,DHI,Temperature,Wind Speed,Relative Humidity,Pressure,Dew Point
2018-01-01 00:00:00,0,0,0,10.4,0.7000000000000001,96.11,1025,9.8
2018-01-01 01:00:00,0,0,0,10.2,0.7000000000000001,96.95,1026,9.7
2018-01-01 02:00:00,0,0,0,9.9,0.7000000000000001,97.71,1026,9.6
2018-01-01 03:00:00,0,0,0,9.7,0.7000000000000001,97.33,1025,9.3
2018-01-01 04:00:00,0,0,0,9.4,0.7000000000000001,97.71,1026,9.1
2018-01-01 05:00:00,0,0,0,9.3,0.7000000000000001,96.88,1026,8.8
2018-01-01 06:00:00,0,0,0,9.1,0.7000000000000001,96.78,1026,8.6
2018-01-01 07:00:00,0,0,0,9.6,0.7000000000000001,92.44,1027,8.4
2018-01-01 08:00:00,102,29,97,11.1,0.9,84.69,1027,8.6
2018-01-01 09:00:00,209,158,158,13.1,1.3,76.74,1027,9.1
2018-01-01 10:00:00,317,330,177,15.2,1.5,67.51,1027,9.2
2018-01-01 11:00:00,398,455,178,16.900000000000002,1.3,59.25,1026,8.9
2018-01-01 12:00:00,385,253,260,18.1,1.1,52.4,1026,8.200000000000001
2018-01-01 13:00:00,370,471,157,18.6,1.0,49.24,1025,7.7
2018-01-01 14:00:00,309,485,131,18.3,0.9,49.76,1025,7.6
2018-01-01 15:00:00,180,330,101,16.7,0.8,59.13,1025,8.700000000000001
2018-01-01 16:00:00,31,0,31,14.7,0.9,67.01,1025,8.6
2018-01-01 17:00:00,0,0,0,13.3,1.0,67.66,1025,7.4
2018-01-01 18:00:00,0,0,0,12.5,1.0,71.75,1025,7.5
2018-01-01 19:00:00,0,0,0,12.3,1.0,72.15,1025,7.4
2018-01-01 20:00:00,0,0,0,12.2,1.0,70.95,1025,7.1000000000000005
2018-01-01 21:00:00,0,0,0,12.3,0.9,70.17,1025,7.0
2018-01-01 22:00:00,0,0,0,12.3,0.9,70.21000000000001,1025,7.0
2018-01-01 23:00:00,0,0,0,12.2,1.0,70.79,1025,7.1000000000000005
2018-01-02 00:00:00,0,0,0,12.1,1.0,71.59,1025,7.1000000000000005
2018-01-02 01:00:00,0,0,0,11.9,1.0,72.74,1025,7.2
2018-01-02 02:00:00,0,0,0,11.6,1.1,73.86,1025,7.1000000000000005
2018-01-02 03:00:00,0,0,0,11.1,1.1,75.78,1025,7.0
2018-01-02 04:00:00,0,0,0,10.6,1.1,77.61,1025,6.9
2018-01-02 05:00:00,0,0,0,10.2,1.1,78.8,1025,6.7
2018-01-02 06:00:00,0,0,0,9.9,1.1,79.48,1025,6.5
2018-01-02 07:00:00,0,0,0,10.9,1.0,74.41,1025,6.5
2018-01-02 08:00:00,69,9,68,13.0,1.3,70.05,1026,7.7
2018-01-02 09:00:00,160,45,146,15.0,1.4,59.9,1026,7.300000000000001
2018-01-02 10:00:00,231,74,200,17.1,1.3,53.76,1025,7.7
2018-01-02 11:00:00,107,2,106,18.9,1.2000000000000002,47.98,1024,7.6
2018-01-02 12:00:00,100,1,100,19.700000000000003,1.2000000000000002,45.61,1024,7.6
2018-01-02 13:00:00,195,28,182,19.9,1.3,44.27,1023,7.4
2018-01-02 14:00:00,201,49,183,19.0,1.1,47.79,1023,7.7
2018-01-02 15:00:00,137,61,122,17.0,0.9,62.32,1023,9.7
2018-01-02 16:00:00,31,2,31,14.6,1.0,71.56,1023,9.5
2018-01-02 17:00:00,0,0,0,13.2,1.0,74.24,1023,8.700000000000001
2018-01-02 18:00:00,0,0,0,12.3,1.0,77.75,1023,8.5
2018-01-02 19:00:00,0,0,0,11.6,1.0,80.14,1023,8.3
2018-01-02 20:00:00,0,0,0,11.2,1.0,81.94,1023,8.200000000000001
2018-01-02 21:00:00,0,0,0,10.8,1.0,84.08,1023,8.200000000000001
2018-01-02 22:00:00,0,0,0,10.6,1.0,85.2,1022,8.200000000000001
2018-01-02 23:00:00,0,0,0,10.1,1.0,88.21000000000001,1022,8.200000000000001
2018-01-03 00:00:00,0,0,0,9.8,1.1,90.42,1021,8.3
2018-01-03 01:00:00,0,0,0,9.9,1.1,90.15,1022,8.4
2018-01-03 02:00:00,0,0,0,9.8,1.1,89.57000000000001,1021,8.200000000000001
2018-01-03 03:00:00,0,0,0,9.7,1.2000000000000002,88.27,1021,7.9
