datetime,GHI,DNI,DHI,Temperature,Wind Speed,Relative Humidity,Pressure,Dew Point
2019-01-01 00:00:00,0,0,0,8.6,4.6000000000000005,95.39,1006,7.9
2019-01-01 01:00:00,0,0,0,9.4,4.800000000000001,94.54,1004,8.6
2019-01-01 02:00:00,0,0,0,10.1,4.7,96.07,1002,9.5
2019-01-01 03:00:00,0,0,0,10.6,4.5,96.57,1002,10.1
2019-01-01 04:00:00,0,0,0,11.4,4.7,95.16,1001,10.7
2019-01-01 05:00:00,0,0,0,12.2,4.800000000000001,96.18,1002,11.6
2019-01-01 06:00:00,0,0,0,12.5,4.7,96.85,1002,12.0
2019-01-01 07:00:00,4,0,4,12.5,4.7,96.14,1004,11.9
2019-01-01 08:00:00,37,1,37,12.2,4.800000000000001,92.38,1005,11.0
2019-01-01 09:00:00,64,2,63,11.7,4.800000000000001,87.39,1006,9.7
2019-01-01 10:00:00,51,0,51,11.0,5.0,83.63,1007,8.3
2019-01-01 11:00:00,137,8,134,10.1,5.1000000000000005,79.07000000000001,1008,6.6000000000000005
2019-01-01 12:00:00,449,878,65,9.4,4.800000000000001,75.06,1009,5.2
2019-01-01 13:00:00,262,93,225,8.700000000000001,4.5,74.10000000000001,1011,4.3
2019-01-01 14:00:00,208,134,168,8.0,4.2,74.83,1012,3.8
2019-01-01 15:00:00,84,6,83,6.800000000000001,3.8,79.31,1014,3.5
2019-01-01 16:00:00,6,0,6,5.7,3.5,82.98,1016,3.0
2019-01-01 17:00:00,0,0,0,4.9,3.5,84.38,1017,2.5
2019-01-01 18:00:00,0,0,0,4.2,3.4000000000000004,85.52,1018,2.0
2019-01-01 19:00:00,0,0,0,3.5,3.1,86.62,1019,1.5
2019-01-01 20:00:00,0,0,0,2.9000000000000004,2.9000000000000004,87.15,1020,1.0
2019-01-01 21:00:00,0,0,0,2.2,2.7,88.57000000000001,1020,0.5
2019-01-01 22:00:00,0,0,0,1.6,2.6,89.78,1020,0.1
2019-01-01 23:00:00,0,0,0,1.0,2.5,90.95,1020,-0.3
2019-01-02 00:00:00,0,0,0,0.5,2.5,90.62,1021,-0.9
2019-01-02 01:00:00,0,0,0,0.2,2.4000000000000004,90.25,1022,-1.2000000000000002
2019-01-02 02:00:00,0,0,0,0.0,2.4000000000000004,89.84,1022,-1.5
2019-01-02 03:00:00,0,0,0,-0.3,2.4000000000000004,89.87,1022,-1.8
2019-01-02 04:00:00,0,0,0,-0.6000000000000001,2.3000000000000003,90.2,1022,-2.0
2019-01-02 05:00:00,0,0,0,-0.8,2.3000000000000003,90.15,1024,-2.2
2019-01-02 06:00:00,0,0,0,-0.8,2.3000000000000003,88.67,1025,-2.4000000000000004
2019-01-02 07:00:00,5,0,5,-0.1,2.5,83.94,1026,-2.5
2019-01-02 08:00:00,107,88,92,1.1,2.7,78.4,1026,-2.2
2019-01-02 09:00:00,154,50,139,1.8,2.6,70.39,1026,-3.0
2019-01-02 10:00:00,265,187,192,2.5,2.1,63.46,1026,-3.7
2019-01-02 11:00:00,330,308,195,3.0,1.5,57.76,1025,-4.5
2019-01-02 12:00:00,339,341,189,3.2,1.1,54.45,1024,-5.1000000000000005
2019-01-02 13:00:00,243,124,194,3.1,0.9,54.67,1024,-5.2
2019-01-02 14:00:00,105,11,102,2.6,1.0,60.71,1024,-4.2
2019-01-02 15:00:00,47,2,46,1.7000000000000002,1.3,75.12,1023,-2.2
2019-01-02 16:00:00,6,0,6,1.0,1.5,78.95,1023,-2.2
2019-01-02 17:00:00,0,0,0,0.9,1.7000000000000002,78.3,1023,-2.5
2019-01-02 18:00:00,0,0,0,0.9,1.9,78.55,1022,-2.4000000000000004
2019-01-02 19:00:00,0,0,0,1.1,2.1,78.55,1021,-2.2
2019-01-02 20:00:00,0,0,0,1.3,2.3000000000000003,79.69,1020,-1.8
2019-01-02 21:00:00,0,0,0,1.8,2.4000000000000004,80.75,1019,-1.2000000000000002
2019-01-02 22:00:00,0,0,0,2.3000000000000003,2.5,82.31,1017,-0.4
2019-01-02 23:00:00,0,0,0,2.7,2.4000000000000004,84.05,1016,0.3
2019-01-03 00:00:00,0,0,0,2.9000000000000004,2.2,86.98,1016,0.9
2019-01-03 01:00:00,0,0,0,3.1,2.0,89.55,1015,1.5
2019-01-03 02:00:00,0,0,0,3.4000000000000004,1.9,91.42,1013,2.1
2019-01-03 03:00:00,0,0,0,3.8,1.9,92.68,1012,2.7
2019-01-03 04:00:00,0,0,0,4.1000000000000005,2.0,94.66,1011,3.3000000000000003
2019-01-03 05:00:00,0,0,0,4.2,2.0,96.47,1011,3.7
2019-01-03 06:00:00,0,0,0,4.2,2.1,97.29,1011,3.8
2019-01-03 07:00:00,3,0,3,4.3,2.4000000000000004,96.54,1011,3.8
2019-01-03 08:00:00,51,3,51,4.7,2.9000000000000004,94.53,1011,3.9
2019-01-03 09:00:00,130,23,123,5.1000000000000005,3.4000000000000004,92.47,1012,4.0
2019-01-03 10:00:00,172,23,163,5.300000000000001,4.0,87.68,1012,3.4000000000000004
2019-01-03 11:00:00,174,27,162,5.4,4.2,77.59,1012,1.8
2019-01-03 12:00:00,341,203,252,5.5,3.9,71.43,1012,0.7000000000000001
2019-01-03 13:00:00,300,195,223,5.5,3.5,69.29,1012,0.3
2019-01-03 14:00:00,298,800,55,5.0,3.1,71.02,1012,0.2
2019-01-03 15:00:00,78,2,77,4.0,2.6,77.75,1013,0.5
2019-01-03 16:00:00,5,0,5,2.9000000000000004,2.4000000000000004,83.88,1014,0.4
2019-01-03 17:00:00,0,0,0,2.0,2.3000000000000003,87.09,1015,0.1
2019-01-03 18:00:00,0,0,0,1.2000000000000002,2.1,88.13,1015,-0.5
2019-01-03 19:00:00,0,0,0,0.6000000000000001,1.9,88.09,1015,-1.1
2019-01-03 20:00:00,0,0,0,0.3,1.8,87.54,1015,-1.5
2019-01-03 21:00:00,0,0,0,0.1,1.6,86.60000000000001,1015,-1.9
2019-01-03 22:00:00,0,0,0,-0.1,1.4,86.72,1015,-2.0
2019-01-03 23:00:00,0,0,0,-0.2,1.6,88.07000000000001,1015,-1.9
2019-01-04 00:00:00,0,0,0,-0.3,1.9,90.55,1015,-1.7000000000000002
2019-01-04 01:00:00,0,0,0,-0.3,2.2,91.37,1015,-1.5
2019-01-04 02:00:00,0,0,0,-0.3,2.5,92.61,1015,-1.4
2019-01-04 03:00:00,0,0,0,-0.5,2.6,93.62,1015,-1.4
2019-01-04 04:00:00,0,0,0,-0.6000000000000001,2.5,93.52,1015,-1.5
2019-01-04 05:00:00,0,0,0,-0.7000000000000001,2.3000000000000003,93.68,1015,-1.6
2019-01-04 06:00:00,0,0,0,-0.4,2.4000000000000004,91.88,1015,-1.6
2019-01-04 07:00:00,6,0,6,0.6000000000000001,2.8000000000000003,87.28,1015,-1.3
2019-01-04 08:00:00,109,109,91,2.2,3.1,83.4,1015,-0.3
2019-01-04 09:00:00,211,246,136,3.8,3.3000000000000003,80.14,1015,0.7000000000000001
2019-01-04 10:00:00,273,232,182,5.2,3.5,76.84,1014,1.5
2019-01-04 11:00:00,324,295,194,6.0,3.5,75.13,1013,1.9
2019-01-04 12:00:00,286,162,215,6.300000000000001,3.4000000000000004,76.0,1012,2.4000000000000004
2019-01-04 13:00:00,157,20,149,6.300000000000001,3.1,79.02,1011,2.9000000000000004
2019-01-04 14:00:00,96,9,94,5.6000000000000005,2.7,86.05,1011,3.4000000000000004
2019-01-04 15:00:00,44,2,44,4.7,2.5,91.86,1011,3.5
2019-01-04 16:00:00,5,0,5,4.1000000000000005,2.4000000000000004,93.63,1010,3.2
2019-01-04 17:00:00,0,0,0,3.8,2.2,96.74,1011,3.3000000000000003
2019-01-04 18:00:00,0,0,0,3.4000000000000004,1.9,99.12,1010,3.3000000000000003
2019-01-04 19:00:00,0,0,0,3.2,1.6,99.93,1010,3.2
2019-01-04 20:00:00,0,0,0,3.2,1.5,100.0,1009,3.2
2019-01-04 21:00:00,0,0,0,3.5,1.5,98.84,1009,3.3000000000000003
2019-01-04 22:00:00,0,0,0,3.8,1.4,98.15,1008,3.5
2019-01-04 23:00:00,0,0,0,4.1000000000000005,1.3,97.23,1006,3.7
2019-01-05 00:00:00,0,0,0,4.3,1.5,97.2,1005,3.9
2019-01-05 01:00:00,0,0,0,4.5,1.9,97.52,1004,4.1000000000000005
2019-01-05 02:00:00,0,0,0,4.9,2.3000000000000003,97.41,1003,4.5
2019-01-05 03:00:00,0,0,0,5.1000000000000005,2.9000000000000004,97.85,1001,4.800000000000001
2019-01-05 04:00:00,0,0,0,5.2,3.5,97.84,1000,4.9
2019-01-05 05:00:00,0,0,0,5.300000000000001,3.8,97.42,998,4.9
2019-01-05 06:00:00,0,0,0,5.4,3.9,97.52,997,5.0
2019-01-05 07:00:00,1,0,1,5.6000000000000005,3.8,97.09,997,5.2
2019-01-05 08:00:00,6,0,6,5.7,3.4000000000000004,96.97,996,5.300000000000001
2019-01-05 09:00:00,9,0,9,5.800000000000001,3.3000000000000003,96.38,996,5.300000000000001
2019-01-05 10:00:00,35,0,35,5.9,4.0,94.76,995,5.1000000000000005
2019-01-05 11:00:00,7,0,7,6.1000000000000005,4.4,92.19,994,4.9
2019-01-05 12:00:00,121,0,121,6.2,4.2,91.95,994,5.0
2019-01-05 13:00:00,51,0,51,6.2,3.6,92.14,994,5.0
2019-01-05 14:00:00,9,0,9,5.9,3.4000000000000004,93.59,995,4.9
2019-01-05 15:00:00,26,0,26,5.6000000000000005,3.6,94.29,997,4.800000000000001
2019-01-05 16:00:00,3,0,3,5.4,3.8,94.13,999,4.5
2019-01-05 17:00:00,0,0,0,5.1000000000000005,3.7,94.36,1001,4.3
2019-01-05 18:00:00,0,0,0,4.7,3.6,94.65,1002,3.9
2019-01-05 19:00:00,0,0,0,4.2,3.4000000000000004,95.23,1003,3.5
2019-01-05 20:00:00,0,0,0,3.7,3.3000000000000003,95.55,1004,3.1
2019-01-05 21:00:00,0,0,0,3.2,3.3000000000000003,96.12,1005,2.6
2019-01-05 22:00:00,0,0,0,2.7,3.2,96.05,1005,2.1
2019-01-05 23:00:00,0,0,0,2.3000000000000003,3.0,95.68,1006,1.7000000000000002
2019-01-06 00:00:00,0,0,0,1.9,2.8000000000000003,96.19,1006,1.4
2019-01-06 01:00:00,0,0,0,1.6,2.7,96.63,1007,1.1
2019-01-06 02:00:00,0,0,0,1.4,2.6,96.78,1007,0.9
2019-01-06 03:00:00,0,0,0,1.2000000000000002,2.6,97.43,1007,0.8
2019-01-06 04:00:00,0,0,0,1.2000000000000002,2.4000000000000004,96.75,1008,0.7000000000000001
2019-01-06 05:00:00,0,0,0,1.4,2.5,95.63,1008,0.8
2019-01-06 06:00:00,0,0,0,1.9,2.8000000000000003,94.67,1009,1.1
2019-01-06 07:00:00,3,0,3,3.0,3.3000000000000003,91.26,1010,1.7000000000000002
2019-01-06 08:00:00,16,0,16,4.7,3.6,88.29,1011,2.9000000000000004
2019-01-06 09:00:00,36,0,36,6.300000000000001,3.8,85.22,1011,4.0
2019-01-06 10:00:00,57,0,57,7.2,4.1000000000000005,81.54,1011,4.3
2019-01-06 11:00:00,58,0,58,7.4,4.5,76.77,1012,3.6
2019-01-06 12:00:00,171,2,170,7.1000000000000005,4.6000000000000005,73.62,1012,2.7
2019-01-06 13:00:00,183,13,178,6.6000000000000005,4.5,72.48,1013,2.0
2019-01-06 14:00:00,42,0,42,5.9,4.4,73.77,1014,1.6
2019-01-06 15:00:00,101,18,98,4.800000000000001,4.3,77.39,1016,1.2000000000000002
2019-01-06 16:00:00,10,0,10,3.7,4.5,78.46000000000001,1018,0.3
2019-01-06 17:00:00,0,0,0,2.6,4.800000000000001,77.79,1019,-0.9
2019-01-06 18:00:00,0,0,0,1.5,4.9,77.05,1021,-2.1
2019-01-06 19:00:00,0,0,0,0.5,4.7,75.79,1022,-3.3000000000000003
2019-01-06 20:00:00,0,0,0,-0.4,4.6000000000000005,75.53,1023,-4.2
2019-01-06 21:00:00,0,0,0,-1.3,4.3,76.75,1023,-4.9
2019-01-06 22:00:00,0,0,0,-1.9,4.0,77.37,1024,-5.300000000000001
2019-01-06 23:00:00,0,0,0,-2.4000000000000004,3.9,78.03,1025,-5.7
2019-01-07 00:00:00,0,0,0,-2.8000000000000003,3.8,78.88,1025,-6.0
