system_id,state,dc_capacity_kW,years,latitude,longitude,available_sensor_channels,has_weather_sensors
14509,,6.37,65.2876,33.7589,-117.79127,20,True
50,CO,6.0,31.2301,39.742,-105.1727,23,True
51,CO,6.0,31.2301,39.7416,-105.1734,23,True
10,CO,1.12,19.5643,39.7404,-105.1774,14,True
1208,CO,2.7135081,18.1643,39.7407,-105.1694,17,True
4,CO,1.0,17.9342,39.7406,-105.1774,15,True
33,CO,2.4,15.3917,39.7404,-105.1772,15,True
1289,,1.82,7.6465,39.7405,-105.1774,18,True
14502,,19.07,5.4712,33.76252,-117.77457,40,True
14504,,13.49,5.4712,33.76374,-117.79618,20,True
14512,,7.97,5.4684,33.753,-117.782,12,True
14515,,5.3,5.4684,33.77289,-117.80456,11,True
14516,,6.14,5.4684,33.73253,-117.87477,28,True
14519,,12.1,5.4684,33.75315,-117.78991,33,True
14521,,12.42,5.4684,33.78286,-117.80296,33,True
14522,,10.56,5.4684,33.77971,-117.77954,12,True
14523,,6.91,5.4684,33.76854,-117.77599,12,True
14527,,4.88,5.4684,33.75447,-117.88624,12,True
14528,,9.41,5.4684,33.75727,-117.78338,24,True
14530,,6.94,5.4684,33.76816,-117.77159,11,True
14531,,5.4,5.4684,33.71185,-117.90075,12,True
14532,,3.77,5.4684,33.73603,-117.8589,12,True
14535,,7.21,5.4684,33.7681,-117.80548,11,True
14536,,7.86,5.4684,33.76847,-117.82252,12,True
14539,,8.11,5.4684,33.76994,-117.81311,12,True
14540,,8.05,5.4684,33.74546,-117.82033,12,True
14541,,18.8,5.4684,33.77785,-117.79553,52,True
14542,,10.2,5.4684,33.76153,-117.83256,24,True
14548,,12.25,5.4684,33.76476,-117.77835,36,True
14550,,2.86,5.4684,33.72463,-117.88905,12,True
14547,,9.26,5.463,33.76123,-117.83176,24,True
14544,,3.78,5.4082,33.76801,-117.77933,12,True
14526,,6.27,5.389,33.74754,-117.79433,11,True
14533,,5.86,5.389,33.77153,-117.83225,12,True
14543,,10.79,5.3178,33.77687,-117.77876,32,True
14557,,5.24,5.3013,33.77101,-117.79094,14,True
14556,,3.0,5.252,33.70228,-117.89388,12,True
14555,,5.37,5.0493,33.71978,-117.89941,24,True
14560,,8.83,5.0273,33.7229,-117.86562,24,True
14517,,5.13,5.0246,33.73036,-117.87135,11,True
14524,,12.26,4.9424,33.78286,-117.80296,33,True
14538,,9.74,4.8575,33.77247,-117.79124,12,True
14554,,11.21,4.8164,33.78048,-117.78957,23,True
14500,,14.43,4.7835,33.75971,-117.77904,30,True
14510,,5.09,4.7479,33.77506,-117.823,20,True
14546,,5.06,4.6794,33.77268,-117.77746,11,True
14552,,10.71,4.6575,33.7662,-117.795,12,True
14566,,4.97,4.6054,33.7044,-117.87319,20,True
14558,,5.67,4.5589,33.71708,-117.87168,24,True
14551,,6.75,4.4465,33.76679,-117.77957,24,True
14561,,2.92,4.4383,33.72984,-117.88265,12,True
14565,,3.48,4.4356,33.7239,-117.87163,12,True
14595,,12.65,4.3917,33.70815,-117.89726,31,True
14607,,4.17,4.2794,33.74791,-117.79909,20,True
14592,,6.63,4.2739,33.75245,-117.78435,11,True
14506,,15.7,4.189,33.76928,-117.77176,20,True
14559,,2.95,4.1808,33.71711,-117.85799,12,True
14564,,3.99,4.1041,33.71162,-117.85827,20,True
14608,,10.97,3.989,33.77032,-117.77674,46,True
14604,,5.63,3.9863,33.76741,-117.84918,20,True
14594,,10.17,3.9561,33.77946,-117.79081,24,True
14614,,19.18,3.9534,33.7323,-117.92663,60,True
14620,,5.13,3.9205,33.77092,-117.84895,40,True
14611,,6.55,3.8931,33.76015,-117.79581,26,True
14616,,5.99,3.841,33.77042,-117.78873,20,True
14606,,3.7,3.8356,33.72259,-117.86387,20,True
14622,,2.99,3.8356,33.71005,-117.87967,20,True
14627,,8.77,3.7041,33.77696,-117.76258,40,True
14633,,8.66,3.6657,33.77017,-117.78862,40,True
14618,,5.09,3.6219,33.71272,-117.89989,20,True
14599,,3.1,3.5534,33.7072,-117.88819,20,True
14617,,8.77,3.5232,33.76616,-117.79083,40,True
14632,,3.94,3.5123,33.75121,-117.89995,12,True
14631,,3.77,3.3972,33.74643,-117.88449,12,True
14549,,4.55,3.3753,33.70567,-117.88395,12,True
14603,,6.45,3.3753,33.77579,-117.79327,24,True
14508,,15.08,3.3561,33.78175,-117.77969,18,True
14639,,7.41,3.3178,33.78395,-117.80195,40,True
14642,,3.9,3.2958,33.75198,-117.79864,20,True
14649,,3.09,3.2931,33.71342,-117.88995,20,True
14650,,3.84,3.2794,33.71979,-117.89025,12,True
14623,,9.03,3.2712,33.71733,-117.90137,60,True
14593,,4.67,3.241,33.73406,-117.88101,12,True
14653,,4.57,3.2054,33.76465,-117.78683,20,True
14613,,3.96,3.2,33.73183,-117.88328,20,True
14621,,7.11,3.2,33.74358,-117.79832,20,True
14628,,6.89,3.1698,33.77353,-117.82254,20,True
14652,,6.03,3.1616,33.78223,-117.79946,20,True
14662,,5.5,3.1452,33.77687,-117.77876,23,True
14664,,3.47,3.1424,33.75867,-117.93137,32,True
14648,,2.71,3.0958,33.72671,-117.86102,20,True
14661,,11.74,3.0684,33.74823,-117.78315,52,True
14630,,6.51,3.0136,33.76443,-117.854,40,True
14656,,9.24,3.0,33.74684,-117.88789,40,True
14663,,12.4,2.989,33.77606,-117.79724,412,True
14660,,5.92,2.9315,33.72767,-117.91417,212,True
14612,,2.92,2.915,33.74868,-117.85893,20,True
14686,,17.06,2.9041,33.77175,-117.81206,572,True
14682,,12.08,2.8657,33.76794,-117.77692,412,True
14624,,5.42,2.863,33.70815,-117.89726,20,True
14680,,13.51,2.8383,33.74269,-117.80039,452,True
14681,,3.76,2.8246,33.74262,-117.86891,32,True
14677,,6.77,2.8219,33.74978,-117.9284,232,True
14629,,13.13,2.8109,33.77374,-117.7969,40,True
14562,,2.54,2.7671,33.72617,-117.85895,20,True
14667,,7.31,2.7643,33.7637,-117.79672,252,True
14679,,4.43,2.7506,33.77035,-117.77527,32,True
14640,,7.03,2.7452,33.76709,-117.78855,20,True
14665,,5.19,2.7287,33.72773,-117.87792,32,True
14537,,5.36,2.7041,33.76253,-117.78953,12,True
14684,,7.1,2.7013,33.75499,-117.80835,252,True
14591,,4.03,2.6794,33.73364,-117.88326,12,True
14619,,5.05,2.6767,33.73168,-117.90746,12,True
14626,,2.92,2.6575,33.73744,-117.88689,12,True
14659,,3.81,2.6575,33.72058,-117.88759,20,True
14638,,3.33,2.6356,33.7175,-117.90682,12,True
14676,,5.44,2.6356,33.74236,-117.79859,32,True
14685,,2.89,2.6109,33.73972,-117.88786,32,True
14666,,12.91,2.5945,33.76225,-117.8167,432,True
14643,,2.79,2.578,33.73912,-117.90095,20,True
14520,,8.84,2.5726,33.77495,-117.77457,12,True
14635,,3.64,2.5671,33.73063,-117.87681,12,True
14673,,11.38,2.5534,33.73348,-117.93399,392,True
14534,,4.32,2.5369,33.70651,-117.87808,12,True
14668,,11.57,2.526,33.75226,-117.7874,352,True
14691,,7.06,2.5095,33.7191,-117.86395,312,True
14634,,5.29,2.5041,33.75208,-117.90064,20,True
14699,,8.47,2.4712,33.72305,-117.86562,52,True
14693,,16.84,2.4575,33.77144,-117.80747,532,True
14692,,3.9,2.4328,33.71832,-117.8958,32,True
14674,,4.98,2.4109,33.73879,-117.88433,172,True
14702,,16.53,2.4027,33.71465,-117.89711,512,True
14688,,6.67,2.4,33.75158,-117.93717,222,True
14700,,7.55,2.4,33.75777,-117.80772,242,True
14703,,10.68,2.3863,33.78406,-117.79814,332,True
14708,,2.48,2.3753,33.72836,-117.88928,32,True
14671,,9.41,2.3534,33.76991,-117.81219,312,True
14605,,3.86,2.2931,33.74471,-117.87059,20,True
14672,,17.96,2.2849,33.77997,-117.79503,532,True
14719,,0.74,2.2794,33.751,-117.8597,24,True
14709,,14.46,2.2575,33.75467,-117.93081,472,True
14718,,3.84,2.2465,33.74589,-117.93778,32,True
14713,,15.68,2.241,33.77431,-117.79152,932,True
14714,,19.57,2.2082,33.73404,-117.93871,612,True
14610,,9.4,2.2027,33.76493,-117.79211,22,True
14615,,3.83,2.1917,33.73702,-117.88444,26,True
14511,,16.08,2.1369,33.75424,-117.78643,10,True
14644,,2.63,2.126,33.72739,-117.86436,12,True
14729,,16.81,2.1123,33.75429,-117.79287,532,True
14722,,11.09,2.1095,33.74115,-117.90317,372,True
14715,,9.39,2.0958,33.71614,-117.85845,332,True
14720,,6.99,2.0931,33.74398,-117.80025,212,True
14716,,5.55,2.0794,33.7611,-117.78303,172,True
14730,,1.63,2.0794,33.75135,-117.85979,24,True
14641,,5.77,2.0712,33.72747,-117.88267,24,True
14726,,6.85,2.0493,33.75971,-117.77904,222,True
14609,,5.72,2.0465,33.719,-117.87225,26,True
14725,,3.13,2.0191,33.7609,-117.91514,102,True
14529,,6.31,1.9945,33.76696,-117.81619,12,True
14721,,6.53,1.9726,33.75107,-117.84411,32,True
14724,,6.01,1.9561,33.76251,-117.84766,212,True
14731,,9.79,1.9397,33.71506,-117.90164,322,True
14514,,4.22,1.9342,33.76265,-117.81627,11,True
14683,,10.09,1.926,33.77433,-117.78651,312,True
14735,,17.59,1.9205,33.76992,-117.80845,552,True
14654,,7.54,1.9178,33.75867,-117.93137,40,True
14658,,4.77,1.9178,33.75076,-117.91758,40,True
14734,,6.83,1.9178,33.76255,-117.91508,232,True
14712,,5.64,1.8931,33.74195,-117.87952,192,True
14707,,1.68,1.8876,33.73464,-117.92019,72,True
14689,,1.6,1.8821,33.73464,-117.92019,72,True
14675,,7.54,1.8794,33.75309,-117.92653,242,True
14732,,2.75,1.8684,33.71677,-117.9068,10,True
14704,,1.29,1.8465,33.73362,-117.92003,72,True
14563,,2.72,1.8054,33.71753,-117.86007,18,True
14646,,3.81,1.7643,33.71578,-117.87933,20,True
14706,,1.58,1.7452,33.73464,-117.92019,72,True
14737,,4.67,1.7068,33.73244,-117.90365,152,True
14723,,9.39,1.7041,33.77521,-117.83746,372,True
14625,,11.88,1.6986,33.74754,-117.92856,40,True
14733,,7.23,1.6739,33.74078,-117.89149,232,True
14736,,5.46,1.6739,33.74723,-117.89062,192,True
14705,,3.48,1.6575,33.73359,-117.92036,132,True
14651,,11.96,1.6273,33.74138,-117.79436,11,True
14701,,1.6,1.6273,33.73464,-117.92019,72,True
14738,,10.19,1.6136,33.78669,-117.77399,322,True
14727,,1.59,1.6109,33.64171,-117.91869,72,True
14728,,1.68,1.6082,33.64171,-117.91869,60,True
14636,,4.0,1.5671,33.69799,-117.87489,12,True
14647,,3.23,1.4547,33.71915,-117.87426,12,True
14687,,3.99,1.4328,33.74455,-117.80341,142,True
14670,,3.08,1.4027,33.74014,-117.8929,32,True
14657,,2.44,1.2849,33.74172,-117.91413,20,True
14518,,2.83,1.2739,33.74747,-117.79845,11,True
14590,,6.25,1.2246,33.69928,-117.8765,40,True
11740,,2.16,14.0027,36.106698,-79.145508,2,False
10000,,5.85,13.9369,44.914573,-93.162525,2,False
10003,,11.04,13.7534,40.346434,-76.423645,2,False
10020,,6.525,13.1917,33.754828,-117.769851,2,False
10019,,7.82,13.1589,39.798127,-105.226237,2,False
10021,,6.72,13.1589,40.706246,-111.85657,2,False
10022,,6.525,13.1424,33.739571,-117.78618,2,False
10034,,4.41,13.1041,42.907903,-76.301451,2,False
12184,,14.4,13.0904,32.742892,-117.12774,2,False
10014,,6.0,13.0876,37.358162,-119.679978,2,False
10024,,7.7,13.052,30.216108,-97.85828,2,False
10027,,4.7,13.0273,38.819863,-77.05854,2,False
10026,,8.28,13.0219,40.543354,-74.3587,2,False
10032,,3.24,13.0219,33.053092,-117.26855,2,False
10053,,6.58,13.0164,45.511033,-122.794381,2,False
10035,,9.408,13.0136,37.34901,-122.262354,2,False
10036,,1.92,13.0109,39.317735,-84.24728,2,False
10046,,8.82,13.0,41.823502,-73.773153,2,False
10012,,7.524,12.9917,40.889911,-75.1112,2,False
10041,,4.08,12.9808,34.639682,-120.4471,2,False
10043,,5.5,12.9726,40.737132,-111.86044,2,False
10060,,2.25,12.9726,37.889125,-122.29371,2,False
10040,,8.325,12.9616,42.457201,-71.37478,2,False
12087,,9.912,12.9589,42.457201,-71.37478,2,False
10045,,7.41,12.9561,40.7143,-73.55527,2,False
10044,,11.04,12.9534,38.588301,-88.03692,2,False
10047,,4.6,12.9534,40.041472,-77.197073,2,False
10048,,10.0,12.9506,39.543274,-76.59298,2,False
10050,,3.76,12.9479,34.049789,-84.38539,2,False
10010,,12.192,12.9452,45.136089,-88.010933,2,False
10039,,6.48,12.915,35.755651,-78.77508,2,False
