system_id,has_data,file_format,best_year,size_mb,n_files,error,state,latitude,longitude,years,dc_capacity_kW
14509,True,annual,2016.0,1.47,9,,,33.7589,-117.79127,65.2876,6.37
14540,True,annual,2018.0,5.99,12,,,33.74546,-117.82033,5.4684,8.05
14527,True,annual,2018.0,6.68,12,,,33.75447,-117.88624,5.4684,4.88
14550,True,annual,2018.0,6.69,12,,,33.72463,-117.88905,5.4684,2.86
14727,True,annual,2018.0,29.28,6,,,33.64171,-117.91869,1.6109,1.59
14504,True,annual,2018.0,1.78,12,,,33.76374,-117.79618,5.4712,13.49
14502,True,annual,2016.0,3.27,12,,,33.76252,-117.77457,5.4712,19.07
14522,True,annual,2018.0,5.96,12,,,33.77971,-117.77954,5.4684,10.56
14536,True,annual,2018.0,5.99,12,,,33.76847,-117.82252,5.4684,7.86
14539,True,annual,2018.0,6.07,12,,,33.76994,-117.81311,5.4684,8.11
14512,True,annual,2018.0,6.16,12,,,33.753,-117.782,5.4684,7.97
14530,True,annual,2018.0,6.3,12,,,33.76816,-117.77159,5.4684,6.94
14535,True,annual,2018.0,6.31,12,,,33.7681,-117.80548,5.4684,7.21
14515,True,annual,2018.0,6.55,12,,,33.77289,-117.80456,5.4684,5.3
14532,True,annual,2018.0,6.72,12,,,33.73603,-117.8589,5.4684,3.77
14531,True,annual,2018.0,6.74,12,,,33.71185,-117.90075,5.4684,5.4
14523,True,annual,2018.0,7.04,12,,,33.76854,-117.77599,5.4684,6.91
14542,True,annual,2018.0,10.37,12,,,33.76153,-117.83256,5.4684,10.2
14528,True,annual,2018.0,11.98,12,,,33.75727,-117.78338,5.4684,9.41
14521,True,annual,2018.0,12.3,12,,,33.78286,-117.80296,5.4684,12.42
14548,True,annual,2018.0,12.54,12,,,33.76476,-117.77835,5.4684,12.25
14519,True,annual,2018.0,16.85,12,,,33.75315,-117.78991,5.4684,12.1
14541,True,annual,2018.0,18.67,12,,,33.77785,-117.79553,5.4684,18.8
14516,True,annual,2018.0,20.16,12,,,33.73253,-117.87477,5.4684,6.14
14547,True,annual,2018.0,7.44,12,,,33.76123,-117.83176,5.463,9.26
14544,True,annual,2018.0,6.58,12,,,33.76801,-117.77933,5.4082,3.78
14526,True,annual,2018.0,6.27,12,,,33.74754,-117.79433,5.389,6.27
14533,True,annual,2018.0,6.8,12,,,33.77153,-117.83225,5.389,5.86
14543,True,annual,2018.0,10.16,12,,,33.77687,-117.77876,5.3178,10.79
14557,True,annual,2018.0,6.83,12,,,33.77101,-117.79094,5.3013,5.24
14556,True,annual,2018.0,5.91,12,,,33.70228,-117.89388,5.252,3.0
14555,True,annual,2018.0,7.3,10,,,33.71978,-117.89941,5.0493,5.37
14560,True,annual,2018.0,11.71,12,,,33.7229,-117.86562,5.0273,8.83
14517,True,annual,2018.0,6.51,12,,,33.73036,-117.87135,5.0246,5.13
14524,True,annual,2017.0,11.97,10,,,33.78286,-117.80296,4.9424,12.26
14538,True,annual,2017.0,5.78,10,,,33.77247,-117.79124,4.8575,9.74
14554,True,annual,2017.0,10.76,10,,,33.78048,-117.78957,4.8164,11.21
14500,True,annual,2015.0,1.83,10,,,33.75971,-117.77904,4.7835,14.43
14510,True,annual,2017.0,1.36,10,,,33.77506,-117.823,4.7479,5.09
14546,True,annual,2018.0,6.23,12,,,33.77268,-117.77746,4.6794,5.06
14552,True,annual,2018.0,5.66,12,,,33.7662,-117.795,4.6575,10.71
14566,True,annual,2018.0,10.11,12,,,33.7044,-117.87319,4.6054,4.97
14558,True,annual,2017.0,7.04,10,,,33.71708,-117.87168,4.5589,5.67
14551,True,annual,2017.0,11.82,10,,,33.76679,-117.77957,4.4465,6.75
14561,True,annual,2017.0,6.39,10,,,33.72984,-117.88265,4.4383,2.92
14565,True,annual,2018.0,7.15,10,,,33.7239,-117.87163,4.4356,3.48
14595,True,annual,2018.0,10.13,10,,,33.70815,-117.89726,4.3917,12.65
14607,True,annual,2018.0,9.53,10,,,33.74791,-117.79909,4.2794,4.17
14592,True,annual,2018.0,6.41,10,,,33.75245,-117.78435,4.2739,6.63
14506,True,annual,2016.0,1.81,10,,,33.76928,-117.77176,4.189,15.7
