system_id,system_name,location,latitude,longitude,elevation (m),solar_data_prize_2023,first_timestamp,last_timestamp,years,data_points_count
2,Residential 1a,"Lakewood, CO",39.7214,-105.0972,1675,FALSE,1/21/10 11:02,1/13/20 16:45,9.9835,13685898
3,Residential 1b,"Lakewood, CO",39.7214,-105.0972,1675,FALSE,1/21/10 11:02,1/30/17 17:00,7.0301,12668178
4,NREL x-Si -1,"Golden, CO",39.7406,-105.1774,1795.3,FALSE,8/26/07 0:00,2/25/25 22:10,17.515,110725021
10,NREL CIS -1,"Golden, CO",39.7404,-105.1774,1792.8,FALSE,1/9/06 22:45,2/26/25 0:00,19.1452,110052652
33,Silicor Materials,"Golden, CO",39.7404,-105.1772,1794,FALSE,3/11/10 16:23,2/25/25 22:10,14.9726,110368802
34,Andre Agassi Preparatory Academy - Building A,"Las Vegas, NV",36.1952,-115.1582,620,FALSE,8/23/10 11:13,7/26/20 15:45,9.9315,5101891
35,Andre Agassi Preparatory Academy - Gymnasium,"Las Vegas, NV",36.1952,-115.1582,620,FALSE,8/23/10 7:49,7/26/20 15:45,9.9315,5038625
36,NREL low-X x-Si -1,"Golden, CO",39.704,-105.1773,1794.7,FALSE,5/24/94 5:00,7/22/19 9:39,25.178,124502727
50,NREL x-Si 6,"Golden, CO",39.742,-105.1727,1994.7,FALSE,5/13/94 15:45,2/25/25 23:50,30.8109,130591287
51,NREL x-Si 7,"Golden, CO",39.7416,-105.1734,1994.7,FALSE,5/13/94 15:45,2/25/25 23:50,30.8109,88633372
1199,Distributed Sun - Hunt Valley,"Cockeysville, MD",39.4856,-76.6636,325,FALSE,5/26/10 9:45,7/26/20 17:00,10.1753,17542288
1200,Distributed Sun - BWI Hilton,"Linthicum Heights, MD",39.1958,-76.6808,155,FALSE,10/3/10 12:15,7/26/20 17:00,9.8191,6451844
1201,Distributed Sun - 5 Executive Campus,"Cherry Hill, NJ",39.9283,-75.0481,18,FALSE,1/24/11 11:13,7/26/20 17:00,9.5095,12252366
1202,Distributed Sun - 6 Executive Campus,"Cherry Hill, NJ",39.9292,-75.0472,19,FALSE,12/29/10 14:30,7/26/20 17:05,9.5808,12784247
1203,Distributed Sun - EJ DeSeta,"Wilmington, DE",39.7325,-75.5511,4,FALSE,1/19/11 9:00,7/26/20 17:05,9.5232,30309046
