"dataid","renovated_since_last_survey","foundation_pier_beam","foundation_slab","house_built_year","total_square_footage","total_square_footage_covered_by_hvac","home_attached_other_building","num_of_floors","num_of_bedrooms","num_of_bathrooms","any_major_energy_upgrade","renovated_year","renovation_desc","retrofits","describe_upgrades","hvac_central_air_gas_furnace","hvac_central_air_electric_heating","heat_pump_split","hvac_geothermal_heat_pump","hvac_window_unit_ac","hvac_ductless_minisplit","no_hvac","hvac_dont_know","ac_compressor_num","temp_setting_weekday_workday_sumr","temp_setting_weekday_morning_sumr","temp_setting_weekday_evening_sumr","temp_setting_weekday_sleeping_hr_sumr","temp_setting_weekend_daylight_sumr","temp_setting_weekday_workday_wintr","temp_setting_weekday_morning_wintr","temp_setting_weekday_evening_wintr","temp_setting_sleeping_hr_wintr","temp_setting_weekend_daylight_wintr","thermostat_brand","thermostat_is_programmable","thermostat_programming_level","any_annual_ac_svc","electronic_device_cable_box_number","electronic_device_dvr_number","electronic_device_router_number","electronic_device_gaming_sys_number","other_electronic_device_freq_used","spend_time_at_home_none","spend_time_at_home_monday","spend_time_at_home_tuesday","spend_time_at_home_wednesday","spend_time_at_home_thursday","spend_time_at_home_friday","know_about_utility_rate","utility_rate_amount","can_negotiate_utility_rate","when_last_negotiated_utility_rate","ethnicity_asian_pacific_islander","ethnicity_black_african_american","ethnicity_caucasian","ethnicity_hispanic_latino","ethnicity_native_american_or_alaska_native","ethnicity_other","ethnicity_declined_to_respond","housemate1_ethnicity_asian_pacific_islander","housemate2_ethnicity_asian_pacific_islander","housemate3_ethnicity_asian_pacific_islander","housemate1_ethnicity_black_african_american","housemate2_ethnicity_black_african_american","housemate3_ethnicity_black_african_american","housemate1_ethnicity_caucasian","housemate2_ethnicity_caucasian","housemate3_ethnicity_caucasian","housemate1_ethnicity_hispanic_latino","housemate2_ethnicity_hispanic_latino","housemate3_ethnicity_hispanic_latino","housemate1_ethnicity_native_american_or_alaska_native","housemate2_ethnicity_native_american_or_alaska_native","housemate3_ethnicity_native_american_or_alaska_native","housemate1_ethnicity_other","housemate2_ethnicity_other","housemate3_ethnicity_other","housemate1_ethnicity_declined_to_respond","housemate2_ethnicity_declined_to_respond","housemate3_ethnicity_declined_to_respond","residents_under_5","residents_6_to_12","residents_13_to_18","residents_19_to_24","residents_25_to_34","residents_35_to_49","residents_50_to_64","residents_65_and_older","education_level","total_annual_income","gender","housemate1_gender_male","housemate2_gender_male","housemate3_gender_male","housemate1_gender_female","housemate2_gender_female","housemate3_gender_female","housemate1_gender_trans","housemate2_gender_trans","housemate3_gender_trans","housemate1_gender_other","housemate2_gender_other","housemate3_gender_other","housemate1_gender_no_comment","housemate2_gender_no_comment","housemate3_gender_no_comment","describe_sexual_orientation","housemate1_sexual_orientation_lgbtq","housemate2_sexual_orientation_lgbtq","housemate3_sexual_orientation_lgbtq","housemate1_sexual_orientation_hetero","housemate2_sexual_orientation_hetero","housemate3_sexual_orientation_hetero","housemate1_sexual_orientation_spectrum","housemate2_sexual_orientation_spectrum","housemate3_sexual_orientation_spectrum","housemate1_sexual_orientation_other","housemate2_sexual_orientation_other","housemate3_sexual_orientation_other","housemate1_sexual_orientation_no_comment","housemate2_sexual_orientation_no_comment","housemate3_sexual_orientation_no_comment","pv_system_own","pv_system_size","pv_system_size_facing_south","pv_system_size_facing_south_west","pv_system_size_facing_west","pv_system_size_facing_east","pv_system_size_facing_south_east","pv_system_reason","pv_system_satisfied","pv_system_features_liked","pv_system_features_like_to_improve","pv_system_questions_asked","pv_system_surprising_features","pv_neg_factors_too_expensive","pv_neg_factors_uncertainty","pv_neg_factors_ugly","pv_neg_factors_home_resale_value_concerns","pv_neg_factors_roof_has_too_much_shade","pv_neg_factors_not_home_owner","pv_neg_factors_none","pv_neg_factors_other","pv_pos_factors_independence","pv_pos_factors_no_emissions","pv_pos_rate_increase_protection","pv_pos_factors_other","pv_pos_factors_none","any_energy_storage_system","make_model_energy_storage_system","energy_storage_system_capacity_kwh","energy_storage_system_installed_time","energy_storage_system_rebate","energy_storage_system_rebate_yes","energy_storage_system_buying_reason","energy_storage_system_use_solar_power","energy_storage_system_use_and_sell_solar_power","energy_storage_system_no_grid_usage","energy_storage_system_research_project","energy_storage_system_wanted_to_buy","any_electric_vehicle","number_of_vehicles_you_have","ev1_make","ev2_make","ev3_make","ev1_model","ev2_model","ev3_model","ev1_year","ev2_year","ev3_year","ev1_purchased_or_leased","ev2_purchased_or_leased","ev3_purchased_or_leased","charging_station_type_at_home","ev1_avg_monthly_charging_home","ev2_avg_monthly_charging_home","ev3_avg_monthly_charging_home","ev1_avg_monthly_charging_work","ev2_avg_monthly_charging_work","ev3_avg_monthly_charging_work","ev1_avg_monthly_charging_public_station","ev2_avg_monthly_charging_public_station","ev3_avg_monthly_charging_public_station","ev1_public_charging_seek_intentionally","ev2_public_charging_seek_intentionally","ev3_public_charging_seek_intentionally","ev_buy_or_lease_again","ev_buy_or_lease_again_reason","ev_not_buy_or_lease_again_reason","ev_not_buy_range_not_enough","ev_not_buy_expensive","ev_not_buy_not_good_buying_option","ev_not_buy_no_charging_place","ev_not_buy_other_reason1","ev_not_buy_other_reason2","car_range_for_family_needs","yard_size","any_irrigation_system","how_often_irrigation_sys_used","how_long_irrigation_sys_run_1","how_long_irrigation_sys_run_2","irrigation_sys_cover_entire_yard","how_much_yard_area_covered_by_irrigation_sys","any_major_water_leak","how_long_leak_lasted","how_long_to_get_leak_fixed","water_wasted_from_leak","leak_area_1","leak_area_2"
﻿11,This is my first survey for Pecan Street (or firs survey at new house),Pier and beam,,"1916","1600","1600",,,,,,,,,,,,Heat Pump,,,,,,"1",,,,,,"65","68","68","65","68",nest,Yes,Easy,No,None,None,"1",None,,,Monday,Tuesday,Wednesday,Thursday,Friday,Other - Write In,all electric,I don't know,,,,Caucasian,,,,,,,,,,,Housemate 1,,,,,,,,,,,,,,,"1","1","0","0","0","1","1","0",Postgraduate degree,"$300,000 - $1,000,000",Male,,,,Housemate 1,,,,,,,,,,,,Hetero,,,,Housemate 1,,,,,,,,,,,,Yes,"7.2","7.2",,,,,To reduce carbon footprint,Very,no maintenance ,more for winter peak,"how big, does it cover your annual load",it covers all home and vehicle needs,,,,,,,,,,Emission-free electricity,,,,No,,,,,,,,,,,,Yes,Option 1,Tesla ,,,"85",,,"2015",,,Purchase,,,Level 2 charging station,"100%",,,,,,,,,,,,Yes,climate reasons,,,,,,,,,"500",No,,,,,,No,,,,,
"27",This is my first survey for Pecan Street (or firs survey at new house),,,"1987","1700","1700",Detached,"3","3","2",No,,,No,,,,,,,Mini-split system,,,"2","86","86","86","86","86","64","64","64","64","64",none--integrated remotes on mini-splits,I don't have a programmable thermostat,,No,None,None,"1",None,fridge and freezer,,Monday,Tuesday,Wednesday,Thursday,Friday,No,,No,,,,Caucasian,,,,,,,,,,,Housemate 1,,,,,,,,,,,,,,,"0","0","0","0","0","0","1","1",Postgraduate degree,"$50,000 - $74,999",Male,,,,Housemate 1,,,,,,,,,,,,Hetero,,,,Housemate 1,,,,,,,,,,,,Yes,"12.4","12.4",,,,,,Very,low utility bill.,,does it provide all your power?,it's actually pretty cheap when you look closely.,,,,,,,,,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,,,,,,,,,,,Yes,Option 1,chevrolet,,,volt,,,"2014",,,Purchase,,,Level 2 charging station,"100%",,,"0%",,,"0%",,,"0%",,,No,,not planning for a new vehicle just yet.,,,,,,,,"20 acres",No,,,,,,No,,,,,
"35",No,,,,,,,,,,,,,,,Split system with gas furnace,,,,,,,,"1","77","76","74","70","75","Off, or do not have heating system","67","67","67","Off, or do not have heating system",Honeywell,No,Easy,Yes,None,None,"1","2",None,none,,,,,,No,,No,,,,Caucasian,,,,,,,,,,,Housemate 1,,,,,,,,,,,,,,,"1","1",,,"1","1",,,College graduate,"$100,000 - $149,999",Male,,,,Housemate 1,,,,,,,,,,,,Hetero,,,,Housemate 1,,,,,,,,,,,,No,,,,,,,,,,,,,Too expensive,,,,Roof has too much shade,,,,Independence from the utility,Emission-free electricity,,,,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Too expensive,,Too expensive,,,,,,"250",Yes, As needed,I don't know,,No,"50",No,,,,,
"153",This is my first survey for Pecan Street (or firs survey at new house),,Slab,"2007","2350","2350",Detached,"2","4","3",No,,,No,,Split system with gas furnace,Central air system with electric heating,,,,,,,"1","70","70","70","67","70","69","69","69","67","69",Nest,No,Easy,No,"1",None,"1",None,,,Monday,Tuesday,Wednesday,Thursday,Friday,No,,I don't know,,,,Caucasian,,,,,,,,,,,Housemate 1,,,,,,,,,,,,,,,,,,,,,"1","0",Postgraduate degree,,Male,,,,Housemate 1,,,,,,,,,,,,Hetero,,,,Housemate 1,,,,,,,,,,,,Yes,"30",,,,,,Was already installed on the house when we bought it.,Very,Lowers our electric bill.,,,,,,,,,,,,,Emission-free electricity,Protection against future utility rate increases,,,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,"Not looking for a car for several years, concerned about battery life and distance range.  Maybe by the time we are looking we will strongly consider electric/hybrid.",The range is not long enough,,,,,,"250 -300 miles","400 sq ft",No,,,,,,No,,,,,
"166",No,,,,,,,,,,,,,,,,,,,,,No air conditioning,,,"On, but no temperature control","On, but no temperature control","On, but no temperature control","On, but no temperature control","On, but no temperature control","60","69","69","60","66",Nest,Yes,Easy,No,None,None,"1",None,"Refrigerator, clocks, I live my printer plugged in - though it automatically goes to sleep after an hour or so",,Monday,Tuesday,Wednesday,Thursday,Friday,No,,I don't know,,,,Caucasian,,,,,,,,,,,Housemate 1,,,,,,,,,,,,,,,"1","1",,,,"2",,,Postgraduate degree,"$150,000 - $299,000",Male,,,,Housemate 1,,,,,,,,,,,,,,,,Housemate 1,,,,,,,,,,,,No,,,,,,,,,,,,,,Not sure how much I would benefit,,,,,,other,,Emission-free electricity,,,,No,,,,,,,,,,,,Yes,Option 1,Taga,,,"2.0 Duo",,,"2016",,,Purchase,,,Charge from a standard outlet,"100%",,,"0%",,,"0%",,,"0%",,,No,,I'm just not sure one way or the other,,,,,,,,"500",Yes, As needed,Other - Write In,"80min-4hours",No,Mostly drip - so specific spots distributed around...,No,,,,,
"186",No,,,,,,,,,,,,,,,Split system with gas furnace,,,,,,,,"1","75","74","74","74","75","73","74","74","74","73",Nest,Yes,Moderately difficult,No,"1",None,"1",None,"kitchen light, refrigerator, network equipment",,Monday,Tuesday,Wednesday,Thursday,Friday,No,,I don't know,,,,Caucasian,,,,,,,,,,,,,,Housemate 1,,,,,,,,,,,,,,,,,"0","0",,Some college/trade/vocational school,"$75,000 - $99,999",Male,,,,Housemate 1,,,,,,,,,,,,Hetero,,,,Housemate 1,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,I don't own my home,,,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Travel range & price.,The range is not long enough,Too expensive,,,,,"500 miles","5700",No,,,,,,No,,,,,
"245",No,,,,,,,,,,,,,,,Split system with gas furnace,,,,,,,,"1","78","78","78","78","78","70","70","70","70","70",Coleman,Yes,Easy,Yes,,"1","1",,We have a light in the living room that will not turn off. Our desktop is on but in sleep mode unless in use. Refrigerator is on all the time.,,Monday,Tuesday,Wednesday,Thursday,Friday,Other - Write In,It just changed I think it is 8.5 cents,I don't know,,,,Caucasian,,,,,,,,,,,Housemate 1,,,,,,,,,,,,,,,,,,,,,"0","0",Postgraduate degree,"$75,000 - $99,999",Female,Housemate 1,,,,,,,,,,,,,,,Hetero,,,,Housemate 1,,,,,,,,,,,,No,,,,,,,,,,,,,Too expensive,Not sure how much I would benefit,,,,,,,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Husband will stop driving in future and cost is outside our budget. We are only using 1 car at this time.,,Too expensive,No electric options available for my preferred type of vehicle,I don't have a place to charge it,,,,"10,000",No,,,,,,No,,,,,
"298",No,,,,,,,,,,,,,,,,Central air system with electric heating,,,,,,,"1","76","76","76","76","76","72","72","72","72","72",,No,Moderately difficult,Yes,None,None,"1",None,In the summer the ceiling fans are on almost all the time,,,,,,Friday,No,,I don't know,,,,,,,,Decline to Respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,College graduate,"$75,000 - $99,999",Don't want to comment,,,,,,,,,,,,,,,,Don't want to comment,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Too expensive,Not sure how much I would benefit,,,,,,other,Independence from the utility,Emission-free electricity,,,,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,For the mileage and to use fewer natural resources/be more eco-friendly,,,,,,,,,"500 sq ft",No,,,,,,Yes,not sure - maybe a week?,"1 day",no idea,An underground pipe was broken or cracked,
"387",No,,,,,,,,,,,,,,,,,,,,,No air conditioning,,,,,,,,"70","70","70","60","70",Honeywell,I don't have a programmable thermostat,,No,None,None,"1",None,,,Monday,Tuesday,Wednesday,Thursday,Friday,Other - Write In,"I assume electricity, $.14kwh",No,,,,Caucasian,,,,,,,,,,,Housemate 1,,,,,,,,,,,,,,,,,,,,,,"2",Postgraduate degree,"$100,000 - $149,999",,,,,Housemate 1,,,,,,,,,,,,Hetero,,,,Housemate 1,,,,,,,,,,,,Yes,"9999",only south facing,,,,,installed by previous owner,Somewhat satisfied,power,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,Option 2,Honda,,,clarity,,,"2018",,,Lease,,,Level 2 charging station,"50%",,,,,,,,,"10%",,,Yes,overall performance,,,,,,,,,"2500",No,,,,,,No,,,,,
"410",No,,,,,,,,,,,,,,,Split system with gas furnace,,,,,,,,"1","82","82","78","76","80","66","72","72","68","72",Nest,No,Easy,No,None,None,"1",None,security system,,,,,,Friday,No,,No,,,,Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,"1",,,Postgraduate degree,"$150,000 - $299,000",Female,,,,,,,,,,,,,,,,Hetero,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,Roof has too much shade,,,,,Emission-free electricity,,,,No,,,,,,,,,,,,Yes,Option 1,nissan,,,leaf,,,"2016",,,Lease,,,Charge from a standard outlet,"80%",,,"10%",,,"10%",,,"0%",,,Yes,Emissions-free power (I have 100% PV power through a community solar share) and I love the way my car drives,,,,,,,,,"8700",No,,,,,,No,,,,,
"469",No,,,,,,,,,,,,,,,Split system with gas furnace,,,,,,,,"2","87","80","78","78","80","60","72","72","68","72",Trane,Yes,Easy,No,None,None,"2",None,Pool pump,,,,,,Friday,No,,Yes,Annually,Asian/Pacific Islander,,Caucasian,,,,,Housemate 1,,,,,,,,,,,,,,,,,,,,,"2",,,,,"2",,,Postgraduate degree,"$150,000 - $299,000",Male,,,,Housemate 1,,,,,,,,,,,,Hetero,,,,Housemate 1,,,,,,,,,,,,No,,,,,,,,,,,,,Too expensive,Not sure how much I would benefit,,Concerned with how it might affect my home's resale value,Roof has too much shade,,,,,Emission-free electricity,Protection against future utility rate increases,,,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Typically keep vehicles for 15+ years. Do not think batteries will last that long.,The range is not long enough,Too expensive,,,Other - Write In,Battery lifecycle duration,"200","8000",Yes, As needed,I don't know,,Yes,,No,,,,,
