model_version,experiment,ny_days,dataid,mae,r2,n_windows,timestamp
v1,in_region_ca,0,9836,0.017326808303085636,0.9458902648514581,34265,2026-04-21T02:19:13
v1,in_region_tx,0,661,0.04420746900994663,0.9280350690995529,34601,2026-04-21T02:41:31
v1,in_region_tx,0,1642,0.03468705249703517,0.9394299315159109,34369,2026-04-21T02:41:31
v1,in_region_tx,0,2335,0.038082033179634774,0.9421068975431739,34368,2026-04-21T02:41:31
v1,in_region_tx,0,2361,0.03998028004417902,0.9409743086230568,34885,2026-04-21T02:41:31
v1,in_region_tx,0,2818,0.03423145830324026,0.9438646719193426,34881,2026-04-21T02:41:31
v1,in_region_tx,0,3039,0.04104636037047576,0.9253710467914764,34413,2026-04-21T02:41:31
v1,in_region_tx,0,3456,0.03889814073950124,0.9411076086447274,34829,2026-04-21T02:41:31
v1,in_region_tx,0,3538,0.030812551415796568,0.9402635409230509,34937,2026-04-21T02:41:31
v1,in_region_tx,0,4031,0.03303979048291985,0.9178220865459417,34933,2026-04-21T02:41:31
v1,in_region_tx,0,4373,0.038427498960499955,0.939583725757121,34429,2026-04-21T02:41:31
v1,in_region_tx,0,4767,0.03520366620146043,0.9455136972229504,34860,2026-04-21T02:41:31
v1,in_region_tx,0,6139,0.025703085551276126,0.9258357496556892,34937,2026-04-21T02:41:31
v1,in_region_tx,0,7536,0.038394265115425326,0.9434467030674256,34881,2026-04-21T02:41:31
v1,in_region_tx,0,7719,0.040411717901844384,0.9445891925891663,34781,2026-04-21T02:41:31
v1,in_region_tx,0,7800,0.0346981485911313,0.9343417143534295,34901,2026-04-21T02:41:31
v1,in_region_tx,0,8156,0.04139541977880895,0.9453377879851954,34881,2026-04-21T02:41:31
v1,in_region_tx,0,9019,0.017956164624673802,0.9150290988217693,34829,2026-04-21T02:41:31
v1,in_region_tx,0,9160,0.031120965856405697,0.9282999116478158,34905,2026-04-21T02:41:31
v1,in_region_tx,0,9278,0.03832516654933838,0.9435618853577704,32456,2026-04-21T02:41:31
v1,zero_shot,0,27,0.3211706098419456,0.4900415770121821,17564,2026-04-21T08:15:10
v1,zero_shot,0,142,0.09364149220819555,0.7345571893087504,17565,2026-04-21T08:15:10
v1,zero_shot,0,387,0.05559994487442073,0.7400087821388055,17565,2026-04-21T08:15:10
v1,zero_shot,0,914,0.1727354996000052,0.6386341594390774,17565,2026-04-21T08:15:10
v1,zero_shot,0,950,0.7379354178461929,0.16476524411308568,17565,2026-04-21T08:15:10
v1,zero_shot,0,1222,0.09516430218937373,0.745869100492971,17565,2026-04-21T08:15:10
v1,zero_shot,0,1240,0.2421174328850896,0.5787377756131036,17565,2026-04-21T08:15:10
v1,zero_shot,0,3000,0.05634745836688386,0.738187391157066,17565,2026-04-21T08:15:10
v1,zero_shot,0,3488,0.050791325939404754,0.7437445002132759,17565,2026-04-21T08:15:10
v1,zero_shot,0,3517,0.0653101244915133,0.7338945409341253,17565,2026-04-21T08:15:10
v1,zero_shot,0,5058,0.06884719149157764,0.721417579018739,17565,2026-04-21T08:15:10
v1,zero_shot,0,5587,0.09477235740577988,0.740857623569466,17565,2026-04-21T08:15:10
v1,zero_shot,0,5679,0.07645471851143623,0.7225212566447186,17565,2026-04-21T08:15:10
v1,zero_shot,0,5997,0.18928668170793422,0.6414160214253717,17565,2026-04-21T08:15:10
