model_version,ny_days,mae,rmse,r2,skill_score,peak_mae
v1,0,0.16572612197769998,0.37646021826271797,,,
v1,7,0.14954042753659513,0.29503205069242744,,,
v1,30,0.13248548446361588,0.2598630904275601,,,
v1,90,0.10458647242714286,0.21568560647029467,,,
v1,180,0.05503589186610631,0.1524161361451897,,,
v2,0,0.17142095660772974,0.3934675758307084,,,
v2,7,0.16091182348714614,0.31239714446190203,,,
v2,30,0.14892918764650936,0.2820121807027693,,,
v2,90,0.10885810222550714,0.22003284681286173,,,
v2,180,0.05815381581582995,0.14626179458171926,,,
